timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1602997742323,70,29,351,-388,848,-544
1602997742412,89,29,5,-572,780,-420
1602997742473,61,29,17,-828,672,-228
1602997742544,71,29,18,-744,616,-184
1602997742611,67,29,24,-812,488,-28
1602997742676,65,29,25,-1000,364,200
1602997742767,91,29,29,-1044,308,204
1602997742836,69,29,25,-944,148,316
1602997742904,68,29,27,-924,100,336
1602997742969,65,29,28,-1088,80,464
1602997743035,66,29,29,-888,104,468
1602997743118,83,29,29,-1012,36,448
1602997743185,67,29,36,-1160,308,256
1602997743256,71,29,29,-980,204,136
1602997743327,71,29,34,-988,384,-64
1602997743395,68,29,30,-1000,416,-120
1602997743495,100,29,27,-976,380,-24
1602997743561,66,29,32,-1000,452,44
1602997743626,65,29,39,-768,476,-216
1602997743691,65,29,34,-1012,368,-4
1602997743758,67,29,33,-1016,376,32
1602997743844,86,29,35,-1068,448,32
1602997743912,68,29,40,-1232,704,-48
1602997743979,67,29,30,-892,84,92
1602997744045,66,29,40,-1032,380,-52
1602997744117,72,29,42,-1012,464,-80
1602997744197,80,29,40,-1000,428,-12
1602997744266,69,29,43,-936,432,-64
1602997744332,66,29,40,-992,352,-8
1602997744398,66,29,42,-1004,436,-40
1602997744464,66,29,56,-824,788,-68
1602997744553,89,29,42,-992,408,20
1602997744619,66,29,43,-948,284,20
1602997744684,65,29,46,-956,400,-8
1602997744751,67,29,41,-1104,204,68
1602997744816,65,29,47,-952,268,32
1602997744905,89,29,45,-1056,264,24
1602997744964,59,29,45,-972,244,36
1602997745032,68,29,45,-1060,212,60
1602997745097,65,29,47,-1072,220,20
1602997745162,65,29,43,-1016,92,40
1602997745261,99,29,48,-940,200,16
1602997745329,68,29,46,-1000,208,40
1602997745396,67,29,43,-1012,384,-56
1602997745463,67,29,49,-916,436,-16
1602997745528,65,29,40,-952,540,8
1602997745625,97,29,39,-812,644,-40
1602997745695,70,29,36,-756,792,-44
1602997745759,64,29,37,-700,792,-40
1602997745826,67,29,36,-684,832,-28
1602997745893,67,29,33,-684,820,-88
1602997745987,94,29,37,-736,804,-40
1602997746052,65,29,33,-764,688,-120
1602997746117,65,29,40,-860,516,0
